City,Lat,Lon,Max Temp,Humidity,Wind Speed,Country,Date,Clouds
saint-philippe,-21.36,55.77,77.0,78,4.7,RE,1582766425,92
hobart,-42.88,147.33,62.6,48,24.16,AU,1582766418,75
juba,4.85,31.58,83.93,24,4.99,SS,1582766425,1
dikson,73.51,80.55,14.25,89,24.14,RU,1582766425,100
barrow,71.29,-156.79,-27.4,74,3.36,US,1582766425,1
veraval,20.9,70.37,68.18,41,8.32,IN,1582766426,0
rikitea,-23.12,-134.97,80.64,74,10.38,PF,1582766426,99
arraial do cabo,-22.97,-42.03,80.08,86,10.65,BR,1582766426,88
bani,18.28,-70.33,75.99,87,4.0,DO,1582766350,60
shingu,33.73,135.98,48.2,45,18.34,JP,1582766426,40
casma,-41.01,-73.12,60.8,77,5.82,CL,1582766427,0
san isidro,-12.12,-77.05,77.0,78,13.87,PE,1582766427,10
ushuaia,-54.8,-68.3,48.2,66,29.97,AR,1582766427,40
tiksi,71.69,128.87,-1.41,84,19.73,RU,1582766427,100
senador jose porfirio,-2.59,-51.95,76.44,93,2.95,BR,1582766427,100
itaperucu,-25.22,-49.35,62.6,93,13.87,BR,1582766285,90
kieta,-6.22,155.63,83.59,72,3.62,PG,1582766428,54
avarua,-21.21,-159.78,77.0,94,3.36,CK,1582766428,69
hermanus,-34.42,19.23,66.0,90,1.01,ZA,1582766429,50
alofi,-19.06,-169.92,86.0,74,8.05,NU,1582766429,40
caravelas,-17.71,-39.25,80.96,80,17.45,BR,1582766429,45
bathsheba,13.22,-59.52,77.0,78,5.82,BB,1582766429,20
toamasina,-18.17,49.38,77.0,88,11.41,MG,1582766429,75
peleduy,59.63,112.74,1.36,98,0.85,RU,1582766430,100
hithadhoo,-0.6,73.08,82.98,77,18.14,MV,1582766430,100
kumluca,36.37,30.29,48.47,74,2.93,TR,1582766430,60
hilo,19.73,-155.09,80.6,51,13.87,US,1582766302,40
itarema,-2.92,-39.92,76.19,93,2.8,BR,1582766430,100
beyneu,45.32,55.2,33.13,56,7.0,KZ,1582766431,0
albany,42.6,-73.97,43.0,74,4.7,US,1582766406,90
saskylakh,71.92,114.08,9.37,83,15.46,RU,1582766431,50
isangel,-19.55,169.27,87.8,79,5.82,VU,1582766431,75
yellowknife,62.46,-114.35,6.8,77,3.36,CA,1582766431,90
aden,12.78,45.04,74.3,77,1.9,YE,1582766141,0
puerto ayora,-0.74,-90.35,82.4,78,10.29,EC,1582766432,40
vaini,-21.2,-175.2,86.0,70,5.82,TO,1582766432,20
newton,42.34,-71.21,43.0,87,6.93,US,1582766264,90
naranjal,-2.67,-79.62,77.0,94,8.05,EC,1582766433,90
busselton,-33.65,115.33,70.0,56,18.45,AU,1582766433,57
mount isa,-20.73,139.5,89.6,52,8.05,AU,1582766433,40
mokhsogollokh,61.47,128.92,1.54,97,2.01,RU,1582766433,100
cherskiy,68.75,161.3,-12.33,85,16.13,RU,1582766434,89
umea,63.83,20.26,9.0,92,4.47,SE,1582766434,0
cape town,-33.93,18.42,66.0,93,24.16,ZA,1582766348,40
east london,-33.02,27.91,73.78,77,15.95,ZA,1582766434,98
tuatapere,-46.13,167.68,63.0,67,21.99,NZ,1582766435,53
pirai do sul,-24.53,-49.95,66.99,99,1.99,BR,1582766435,64
georgetown,5.41,100.34,80.6,69,3.36,MY,1582766419,20
tuktoyaktuk,69.45,-133.04,-18.4,75,8.05,CA,1582766435,75
virginia beach,36.85,-75.98,60.01,93,15.99,US,1582766404,90
coquimbo,-29.95,-71.34,60.8,87,8.05,CL,1582766435,75
caruaru,-8.28,-35.98,72.9,91,6.4,BR,1582766414,100
lebu,-37.62,-73.65,57.45,80,9.53,CL,1582766436,0
punta arenas,-53.15,-70.92,51.8,53,42.5,CL,1582766296,40
barquisimeto,10.07,-69.32,87.8,33,9.17,VE,1582766436,100
shubarkuduk,49.14,56.49,20.82,87,9.44,KZ,1582766436,12
mar del plata,-38.0,-57.56,69.01,67,3.36,AR,1582766423,84
kaitangata,-46.28,169.85,62.65,62,17.9,NZ,1582766437,84
porto novo,6.5,2.6,84.2,83,9.17,BJ,1582766357,40
qaanaaq,77.48,-69.36,-14.19,65,5.01,GL,1582766437,100
nuuk,64.18,-51.72,3.2,65,5.82,GL,1582766437,0
mount gambier,-37.83,140.77,59.0,72,11.41,AU,1582766219,90
castro,-24.79,-50.01,59.4,94,1.95,BR,1582766438,50
merauke,-8.47,140.33,88.92,62,2.55,ID,1582766438,46
flinders,-34.58,150.86,73.99,64,6.93,AU,1582766438,75
butaritari,3.07,172.79,84.2,79,16.11,KI,1582766438,99
rock sound,24.9,-76.2,74.95,80,14.97,BS,1582766438,0
caloundra,-26.8,153.13,88.0,74,5.82,AU,1582766438,75
nsoko,-27.03,31.95,66.2,88,1.12,SZ,1582766439,11
kruisfontein,-34.0,24.73,66.16,84,10.56,ZA,1582766439,92
tasiilaq,65.61,-37.64,12.2,85,1.12,GL,1582766439,100
bilibino,68.05,166.44,-16.33,93,1.52,RU,1582766439,45
olafsvik,64.89,-23.71,26.49,65,22.41,IS,1582766439,73
thompson,55.74,-97.86,3.2,49,2.24,CA,1582766440,20
severo-kurilsk,50.68,156.12,25.48,89,4.81,RU,1582766440,100
karratha,-20.74,116.85,82.74,78,3.06,AU,1582766440,100
najran,17.49,44.13,64.4,31,1.41,SA,1582766440,0
